dr:D08628	atc:B01AC21
dr:D05597	atc:B01AC22
dr:D01896	atc:B01AC23
dr:D09017	atc:B01AC24
dr:D03359	atc:B01AC25
dr:D03361	atc:B01AC25
dr:D09765	atc:B01AC26
dr:D09766	atc:B01AC26
dr:D09994	atc:B01AC27
dr:D10527	atc:B01AC56
dr:D06879	atc:B01AD01
dr:D02837	atc:B01AD02
dr:D02947	atc:B01AD03
dr:D03341	atc:B01AD04
dr:D06270	atc:B01AD04
dr:D07422	atc:B01AD05
dr:D03157	atc:B01AD06
dr:D05721	atc:B01AD07
dr:D09206	atc:B01AD08
dr:D02938	atc:B01AD09
dr:D03918	atc:B01AD10
dr:D06070	atc:B01AD11
dr:D08796	atc:B01AD12
dr:D03692	atc:B01AE01
dr:D06880	atc:B01AE02
dr:D00181	atc:B01AE03
dr:D07143	atc:B01AE04
dr:D01981	atc:B01AE05
dr:D03136	atc:B01AE06
dr:D07144	atc:B01AE07
dr:D07082	atc:B01AE07
dr:D07086	atc:B01AF01
dr:D03213	atc:B01AF02
dr:D09710	atc:B01AF03
dr:D09546	atc:B01AF03
dr:D11568	atc:B01AF03
dr:D08873	atc:B01AF04
dr:D07423	atc:B01AX01
dr:D01844	atc:B01AX05
dr:D11160	atc:B01AX07
dr:D00160	atc:B02AA01
dr:D01136	atc:B02AA02
dr:D07568	atc:B02AA03
