ID_Stof,ATC_code
d6459bcd-8f1d-4223-b080-37d8e77bad94,J01FA10
d94f04d3-5291-4054-9513-c88c981b92af,D01AE15
65455bda-f6b1-44f8-b54a-65dd15e70892,J01AA02
8328cc80-0904-4386-9105-47f743fba0d0,N02CC01
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03AB05
f9981f1b-23a2-4ee1-9af7-f18f9a99ae66,G03AB05
eca35ad2-693b-4bdf-bf2b-760c797627d6,B01AD02
c79dcac4-7944-402a-9e0f-d84bd73d1b35,J01CR05
f9981f1b-23a2-4ee1-9af7-f18f9a99ae66,G03AB03
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03AB03
b9fb535d-1b73-43c3-9b3c-8301109d47f4,G02CB03
cce69fc0-a507-4512-a283-76d7ae21091b,C09AA05
d9246271-9790-42df-a26e-0aa9cbc7755f,C09AA02
9ae80fd7-021b-401a-be8f-c300a5dceb3e,B01AA04
605948fc-f394-4cb8-aa21-f9b1743b6302,N04BC01
885e87d9-29c0-47b0-b47e-781073e64dea,A07EA06
7b8fdf39-1951-46c4-8219-068ebe255081,A07AA02
767e19a7-a0c1-4cac-9d35-369517eba110,N02AX02
22bd6a09-db79-43d5-aad7-3fbf24dc0c14,J02AA01
fc19e8ff-fbda-4baa-9fcd-b89525471306,M01AX01
18fcdf73-8232-4e37-8ad5-7913a9f2fa39,S01EB51
b949b90c-08bb-4f15-bd5b-93d71c2ff82c,J04AB04
f9981f1b-23a2-4ee1-9af7-f18f9a99ae66,G03FB06
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03FB06
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G02BA03
b329b11d-655e-470f-b8de-c928b3f5d6c6,C09AA10
29a7e652-4d23-45af-a898-43dddf20ab2f,R03AL01
4012a476-cebf-477c-abcf-f0916ef32854,N05AX08
d164a4e2-57d1-4567-8b48-28dd0162b5c0,R03BA05
373b728f-130f-475a-a3a8-2f2dc8f8a449,S01AE03
44254856-e68c-4bd3-a42c-a28b94f22eb5,M03AC10
177b3f1d-e033-4714-bd7f-c40420eb18a0,C09AA01
d9246271-9790-42df-a26e-0aa9cbc7755f,C09BA02
cf83d0a9-03eb-42fe-a859-652e4fe1a6ac,C09BA02
675df35f-0336-454f-9c3a-dfdb991505e7,J05AB01
a8a3d120-4fd9-481c-b65d-b2f1878a307a,M01AB55
df32405b-e556-4118-ba09-37be09349d68,M01AB55
df32405b-e556-4118-ba09-37be09349d68,S01BC03
b300aae7-7a56-47dd-aea0-3e3eaa02e988,V04CL
c7dc797f-b8cc-438c-84f2-8aecfceb808b,V04CL
675df35f-0336-454f-9c3a-dfdb991505e7,D06BB03
675df35f-0336-454f-9c3a-dfdb991505e7,S01AD03
83fa4495-1fcd-45ff-8267-cb597405f6bc,N01AB06
a13a6d26-b311-4d22-b003-c21fe40ed4ce,N02AB03
fe0443e1-916e-4216-8139-e6f41c48a551,G01AA10
c9bda2c7-75ee-4850-b4df-da2ab74670da,V08AB10
0c05e795-0d89-440e-a9c2-0a8bbc9319e0,B05D
d944099d-d061-4e4d-acfa-bb520af59e40,B05D
1befec7c-2041-4277-a568-ca504d1ecd0b,C07AA07
