ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
B03AA01,B,B03,B03A,B03AA,B03AA01
B03AA02,B,B03,B03A,B03AA,B03AA02
B03AA03,B,B03,B03A,B03AA,B03AA03
B03AA06,B,B03,B03A,B03AA,B03AA06
B03AA07,B,B03,B03A,B03AA,B03AA07
B03AA12,B,B03,B03A,B03AA,B03AA12
B05BC01,B,B05,B05B,B05BC,B05BC01
B05CA04,B,B05,B05C,B05CA,B05CA04
B05CA09,B,B05,B05C,B05CA,B05CA09
B05CB02,B,B05,B05C,B05CB,B05CB02
B05CB03,B,B05,B05C,B05CB,B05CB03
B05CB04,B,B05,B05C,B05CB,B05CB04
B05CX02,B,B05,B05C,B05CX,B05CX02
B05CX03,B,B05,B05C,B05CX,B05CX03
B05CX04,B,B05,B05C,B05CX,B05CX04
B05XA01,B,B05,B05X,B05XA,B05XA01
B05XA02,B,B05,B05X,B05XA,B05XA02
B05XA04,B,B05,B05X,B05XA,B05XA04
B05XA05,B,B05,B05X,B05XA,B05XA05
B05XA07,B,B05,B05X,B05XA,B05XA07
B05XA09,B,B05,B05X,B05XA,B05XA09
B05XA11,B,B05,B05X,B05XA,B05XA11
B05XA17,B,B05,B05X,B05XA,B05XA17
B05XB03,B,B05,B05X,B05XB,B05XB03
B05AA05,B,B05,B05A,B05AA,B05AA05
B05AA07,B,B05,B05A,B05AA,B05AA07
B06AB01,B,B06,B06A,B06AB,B06AB01
C01AB01,C,C01,C01A,C01AB,C01AB01
C01AC01,C,C01,C01A,C01AC,C01AC01
C01BA01,C,C01,C01B,C01BA,C01BA01
C01BA02,C,C01,C01B,C01BA,C01BA02
C01BA03,C,C01,C01B,C01BA,C01BA03
C01BA04,C,C01,C01B,C01BA,C01BA04
C01BA05,C,C01,C01B,C01BA,C01BA05
C01BA12,C,C01,C01B,C01BA,C01BA12
C01BA13,C,C01,C01B,C01BA,C01BA13
C01BB01,C,C01,C01B,C01BB,C01BB01
C01BB02,C,C01,C01B,C01BB,C01BB02
C01BB03,C,C01,C01B,C01BB,C01BB03
C01BB04,C,C01,C01B,C01BB,C01BB04
C01BC03,C,C01,C01B,C01BC,C01BC03
C01BC04,C,C01,C01B,C01BC,C01BC04
C01BC07,C,C01,C01B,C01BC,C01BC07
C01BC08,C,C01,C01B,C01BC,C01BC08
C01BC09,C,C01,C01B,C01BC,C01BC09
C01BD01,C,C01,C01B,C01BD,C01BD01
C01BD02,C,C01,C01B,C01BD,C01BD02
C01BD03,C,C01,C01B,C01BD,C01BD03
C01BD04,C,C01,C01B,C01BD,C01BD04
C01BD05,C,C01,C01B,C01BD,C01BD05
C01BD06,C,C01,C01B,C01BD,C01BD06
C01BD07,C,C01,C01B,C01BD,C01BD07
C01BG01,C,C01,C01B,C01BG,C01BG01
C01BG07,C,C01,C01B,C01BG,C01BG07
C01BG11,C,C01,C01B,C01BG,C01BG11
C01CA01,C,C01,C01C,C01CA,C01CA01
