ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
C09DB02,C,C09,C09D,C09DB,C09DB02
C09DB04,C,C09,C09D,C09DB,C09DB04
C09DB05,C,C09,C09D,C09DB,C09DB05
C09DB06,C,C09,C09D,C09DB,C09DB06
C09DB07,C,C09,C09D,C09DB,C09DB07
C09DB08,C,C09,C09D,C09DB,C09DB08
C09DX01,C,C09,C09D,C09DX,C09DX01
C09DX02,C,C09,C09D,C09DX,C09DX02
C09DX03,C,C09,C09D,C09DX,C09DX03
C09DX04,C,C09,C09D,C09DX,C09DX04
C09DX05,C,C09,C09D,C09DX,C09DX05
C09DX06,C,C09,C09D,C09DX,C09DX06
C09XA02,C,C09,C09X,C09XA,C09XA02
C09XA52,C,C09,C09X,C09XA,C09XA52
C09XA53,C,C09,C09X,C09XA,C09XA53
C09XA54,C,C09,C09X,C09XA,C09XA54
C09AA01,C,C09,C09A,C09AA,C09AA01
C09AA02,C,C09,C09A,C09AA,C09AA02
C09AA03,C,C09,C09A,C09AA,C09AA03
C09AA04,C,C09,C09A,C09AA,C09AA04
C09AA05,C,C09,C09A,C09AA,C09AA05
C09AA06,C,C09,C09A,C09AA,C09AA06
C09AA08,C,C09,C09A,C09AA,C09AA08
C09AA10,C,C09,C09A,C09AA,C09AA10
C10AB01,C,C10,C10A,C10AB,C10AB01
C10AB02,C,C10,C10A,C10AB,C10AB02
C10AB04,C,C10,C10A,C10AB,C10AB04
C10AB05,C,C10,C10A,C10AB,C10AB05
C10AX09,C,C10,C10A,C10AX,C10AX09
C10BA01,C,C10,C10B,C10BA,C10BA01
C10BA02,C,C10,C10B,C10BA,C10BA02
C10BA03,C,C10,C10B,C10BA,C10BA03
C10BA04,C,C10,C10B,C10BA,C10BA04
C10BA05,C,C10,C10B,C10BA,C10BA05
C10BA06,C,C10,C10B,C10BA,C10BA06
C10BX01,C,C10,C10B,C10BX,C10BX01
C10BX02,C,C10,C10B,C10BX,C10BX02
C10BX03,C,C10,C10B,C10BX,C10BX03
C10BX04,C,C10,C10B,C10BX,C10BX04
C10BX05,C,C10,C10B,C10BX,C10BX05
C10BX06,C,C10,C10B,C10BX,C10BX06
C10BX07,C,C10,C10B,C10BX,C10BX07
C10BX08,C,C10,C10B,C10BX,C10BX08
C10BX09,C,C10,C10B,C10BX,C10BX09
C10BX10,C,C10,C10B,C10BX,C10BX10
C10BX11,C,C10,C10B,C10BX,C10BX11
C10BX12,C,C10,C10B,C10BX,C10BX12
C10BX13,C,C10,C10B,C10BX,C10BX13
C10BX14,C,C10,C10B,C10BX,C10BX14
C10BX15,C,C10,C10B,C10BX,C10BX15
C10AA01,C,C10,C10A,C10AA,C10AA01
C10AA02,C,C10,C10A,C10AA,C10AA02
C10AA03,C,C10,C10A,C10AA,C10AA03
C10AA04,C,C10,C10A,C10AA,C10AA04
C10AA05,C,C10,C10A,C10AA,C10AA05
C10AA07,C,C10,C10A,C10AA,C10AA07
C10AA08,C,C10,C10A,C10AA,C10AA08
D01AC02,D,D01,D01A,D01AC,D01AC02
D01AC08,D,D01,D01A,D01AC,D01AC08
D01AC15,D,D01,D01A,D01AC,D01AC15
D01AC52,D,D01,D01A,D01AC,D01AC52
D01AE15,D,D01,D01A,D01AE,D01AE15
D01AE21,D,D01,D01A,D01AE,D01AE21
D01BA01,D,D01,D01B,D01BA,D01BA01
D01BA02,D,D01,D01B,D01BA,D01BA02
D01AA01,D,D01,D01A,D01AA,D01AA01
D01AA08,D,D01,D01A,D01AA,D01AA08
D04AB01,D,D04,D04A,D04AB,D04AB01
D04AX01,D,D04,D04A,D04AX,D04AX01
D04AA10,D,D04,D04A,D04AA,D04AA10
D04AA14,D,D04,D04A,D04AA,D04AA14
D04AA32,D,D04,D04A,D04AA,D04AA32
D04AA33,D,D04,D04A,D04AA,D04AA33
D06AX02,D,D06,D06A,D06AX,D06AX02
