drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
L04AA18,J01FA01,veldokumenteret,udtalt,1,L,J,J01FA01_L04AA18
G03FA17,J05AP53,veldokumenteret,mulig,1,G,J,G03FA17_J05AP53
G03AA16,N06AX25,veldokumenteret,moderat,1,G,N,G03AA16_N06AX25
J05AR18,N06AX25,ringe dokumenteret,uafklaret,1,J,N,J05AR18_N06AX25
C07FX05,N06AX25,begrænset dokumenteret,udtalt,1,C,N,C07FX05_N06AX25
G03FB05,N03AX11,dokumenteret,moderat,1,G,N,G03FB05_N03AX11
G03FB05,J05AR10,veldokumenteret,mulig,1,G,J,G03FB05_J05AR10
G03AA12,J05AR22,begrænset dokumenteret,mulig,1,G,J,G03AA12_J05AR22
G03AA11,N03AF02,dokumenteret,moderat,1,G,N,G03AA11_N03AF02
N02CA52,J05AP02,ringe dokumenteret,mulig,1,N,J,J05AP02_N02CA52
L04AD01,C10AA02,veldokumenteret,udtalt,1,L,C,C10AA02_L04AD01
G03AB08,N03AX11,dokumenteret,moderat,1,G,N,G03AB08_N03AX11
G03AB05,J05AR10,veldokumenteret,mulig,1,G,J,G03AB05_J05AR10
G03AD02,J02AB02,dokumenteret,udtalt,1,G,J,G03AD02_J02AB02
G03AC09,N06AX25,veldokumenteret,moderat,1,G,N,G03AC09_N06AX25
G02BB01,N03AF02,dokumenteret,moderat,1,G,N,G02BB01_N03AF02
G03AA16,N03AF02,dokumenteret,moderat,1,G,N,G03AA16_N03AF02
G03FA14,J05AE10,begrænset dokumenteret,mulig,1,G,J,G03FA14_J05AE10
C10AB04,J05AP09,dokumenteret,udtalt,1,C,J,C10AB04_J05AP09
N03AA02,G02BB01,begrænset dokumenteret,moderat,1,N,G,G02BB01_N03AA02
G03AB05,J05AE10,begrænset dokumenteret,mulig,1,G,J,G03AB05_J05AE10
G03FA17,J05AR22,begrænset dokumenteret,mulig,1,G,J,G03FA17_J05AR22
G03AA16,N03AF02,dokumenteret,moderat,1,G,N,G03AA16_N03AF02
G03AA09,N06AX25,veldokumenteret,moderat,1,G,N,G03AA09_N06AX25
G03CA04,J05AE10,begrænset dokumenteret,mulig,1,G,J,G03CA04_J05AE10
L02AB02,N06AX25,veldokumenteret,moderat,1,L,N,L02AB02_N06AX25
L04AA10,D01AC08,veldokumenteret,mulig,1,L,D,D01AC08_L04AA10
G03AA16,N03AF04,dokumenteret,moderat,1,G,N,G03AA16_N03AF04
G03FB06,N03AX11,dokumenteret,moderat,1,G,N,G03FB06_N03AX11
L04AD01,C10AA03,veldokumenteret,udtalt,1,L,C,C10AA03_L04AD01
J05AE01,C10BA04,dokumenteret,udtalt,1,J,C,C10BA04_J05AE01
J05AE02,J04AM06,veldokumenteret,udtalt,1,J,J,J04AM06_J05AE02
N05CD05,J05AR10,dokumenteret,udtalt,1,N,J,J05AR10_N05CD05
N03AA02,J05AR21,begrænset dokumenteret,uafklaret,1,N,J,J05AR21_N03AA02
J01MA02,M03BX02,dokumenteret,udtalt,1,J,M,J01MA02_M03BX02
J04AM02,C08DA01,veldokumenteret,udtalt,1,J,C,C08DA01_J04AM02
J05AR22,J04AB02,ringe dokumenteret,uafklaret,1,J,J,J04AB02_J05AR22
J01FA01,D11AH01,dokumenteret,udtalt,1,J,D,D11AH01_J01FA01
G03AA13,N03AF04,dokumenteret,moderat,1,G,N,G03AA13_N03AF04
J05AE03,J04AB04,dokumenteret,udtalt,1,J,J,J04AB04_J05AE03
G03AA09,J05AE10,begrænset dokumenteret,mulig,1,G,J,G03AA09_J05AE10
G03AA09,J05AR22,begrænset dokumenteret,mulig,1,G,J,G03AA09_J05AR22
G03CA03,N03AF04,dokumenteret,moderat,1,G,N,G03CA03_N03AF04
N06AG02,N06AX26,dokumenteret,uafklaret,1,N,N,N06AG02_N06AX26
J05AR09,N05CD08,ringe dokumenteret,mulig,1,J,N,J05AR09_N05CD08
G03AA14,J05AR22,begrænset dokumenteret,mulig,1,G,J,G03AA14_J05AR22
N03AA02,G03CA04,begrænset dokumenteret,moderat,1,N,G,G03CA04_N03AA02
L01XA01,S01CA01,begrænset dokumenteret,moderat,1,L,S,L01XA01_S01CA01
G03AB03,N06AX25,veldokumenteret,moderat,1,G,N,G03AB03_N06AX25
G03AB05,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03AB05_J05AR14
S01AE03,M03BX02,dokumenteret,udtalt,1,S,M,M03BX02_S01AE03
J05AR09,C10AA01,ringe dokumenteret,uafklaret,1,J,C,C10AA01_J05AR09
J05AR14,J04AB02,ringe dokumenteret,uafklaret,1,J,J,J04AB02_J05AR14
G03AA09,N06AX25,veldokumenteret,moderat,1,G,N,G03AA09_N06AX25
J05AR14,J04AM06,ringe dokumenteret,uafklaret,1,J,J,J04AM06_J05AR14
G03DA02,N03AF01,veldokumenteret,moderat,1,G,N,G03DA02_N03AF01
J02AB02,C10BA02,begrænset dokumenteret,udtalt,1,J,C,C10BA02_J02AB02
G03AA12,J05AP53,veldokumenteret,mulig,1,G,J,G03AA12_J05AP53
G03AA13,J05AR10,veldokumenteret,mulig,1,G,J,G03AA13_J05AR10
J01XD01,L01AB01,begrænset dokumenteret,udtalt,1,J,L,J01XD01_L01AB01
G03AC08,N03AF02,dokumenteret,moderat,1,G,N,G03AC08_N03AF02
