,NDFRT,CUI
605,"N0000178380
","
C0073631
"
606,"N0000147890
","
C0023586
"
607,"N0000146498
","
C0025854
"
608,"N0000023103
","
C1815818
"
609,"N0000148854
","
C0907410
"
610,"N0000177929
","
C2343853
"
611,"N0000148066
","
C0218986
"
612,"N0000148630
","
C0756085
"
613,"N0000148546
","
C0117339
"
614,"N0000148616
","
C0071097
"
615,"N0000147784
","
C0009279
"
616,"N0000148021
","
C0143993
"
617,"N0000022320
","
C1145759
"
618,"N0000178337
","
C2348248
"
619,"N0000146205
","
C0024002
"
620,"N0000178412
","
C0247194
"
621,"N0000148720
","
C1120106
"
622,"N0000146319
","
C0020933
"
623,"N0000147637
","
C0051511
"
624,"N0000022626
","
C0982010
"
625,"N0000022627
","
C0982011
"
626,"N0000148280
","
C0102850
"
627,"N0000147944
","
C0028005
"
628,"N0000148551
","
C0246330
"
629,"N0000147365
","
C0060246
"
630,"N0000147742
","
C0054259
"
631,"N0000148693
","
C0903898
"
632,"N0000148391
","
C0770893
"
633,"N0000023104
","
C0167117
"
634,"N0000171783
","
C1533126
"
635,"N0000147736
","
C0006400
"
636,"N0000146592
","
C0023660
"
637,"N0000146984
","
C0031453
"
638,"N0000176156
","
C1872109
"
639,"N0000178413
","
C2353893
"
640,"N0000178497
","
C2718773
"
641,"N0000176135
","
C2349941
"
642,"N0000178379
","
C0541315
"
643,"N0000179804
","
C0766326
"
644,"N0000176066
","
C0672708
"
645,"N0000180306
","
C1527027
"
646,"N0000148521
","
C0771840
"
647,"N0000146179
","
C0305065
"
648,"N0000147543
","
C0028094
"
649,"N0000148375
","
C0245531
"
650,"N0000179817
","
C2000088
"
651,"N0000148738
","
C2000088
"
652,"N0000180309
","
C1831796
"
653,"N0000148816
","
C0220578
"
654,"N0000147950
","
C0028833
"
655,"N0000148410
","
C0771294
"
656,"N0000148362
","
C0543476
"
657,"N0000177923
","
C2356037
"
658,"N0000148706
","
C0060657
"
659,"N0000148825
","
C0965390
"
660,"N0000147712
","
C0003596
"
661,"N0000171760
","
C0013015
"
662,"N0000148537
","
C0772184
"
663,"N0000146578
","
C0027353
"
664,"N0000176124
","
C1721377
"
665,"N0000176080
","
C0753678
"
666,"N0000146924
","
C0033215
"
667,"N0000147990
","
C0033218
"
